,date,col_A,col_B,col_C,is_holiday,holiday_type
0,2023-01-01,,,,True,regular_holiday
1,2023-01-02,,,,True,special_non_working_holiday
2,2023-01-03,,,,,
3,2023-01-04,,,,,
4,2023-01-05,,,,,
5,2023-01-06,,,,,
6,2023-01-07,,,,,
7,2023-01-08,,,,,
8,2023-01-09,,,,,
9,2023-01-10,,,,,
10,2023-01-11,,,,,
11,2023-01-12,,,,,
12,2023-01-13,,,,,
13,2023-01-14,,,,,
14,2023-01-15,,,,,
15,2023-01-16,,,,,
16,2023-01-17,,,,,
17,2023-01-18,,,,,
18,2023-01-19,,,,,
19,2023-01-20,,,,,
20,2023-01-21,,,,,
21,2023-01-22,,,,,
22,2023-01-23,,,,,
23,2023-01-24,,,,,
24,2023-01-25,,,,,
25,2023-01-26,,,,,
26,2023-01-27,,,,,
27,2023-01-28,,,,,
28,2023-01-29,,,,,
29,2023-01-30,,,,,
30,2023-01-31,,,,,
31,2023-02-01,,,,,
32,2023-02-02,,,,,
33,2023-02-03,,,,,
34,2023-02-04,,,,,
35,2023-02-05,,,,,
36,2023-02-06,,,,,
37,2023-02-07,,,,,
38,2023-02-08,,,,,
39,2023-02-09,,,,,
40,2023-02-10,,,,,
41,2023-02-11,,,,,
42,2023-02-12,,,,,
43,2023-02-13,,,,,
44,2023-02-14,,,,,
45,2023-02-15,,,,,
46,2023-02-16,,,,,
47,2023-02-17,,,,,
48,2023-02-18,,,,,
49,2023-02-19,,,,,
50,2023-02-20,,,,,
51,2023-02-21,,,,,
52,2023-02-22,,,,,
53,2023-02-23,,,,,
54,2023-02-24,,,,True,special_non_working_holiday
55,2023-02-25,,,,,
56,2023-02-26,,,,,
57,2023-02-27,,,,,
58,2023-02-28,,,,,
59,2023-03-01,,,,,
60,2023-03-02,,,,,
61,2023-03-03,,,,,
62,2023-03-04,,,,,
63,2023-03-05,,,,,
64,2023-03-06,,,,,
65,2023-03-07,,,,,
66,2023-03-08,,,,,
67,2023-03-09,,,,,
68,2023-03-10,,,,,
69,2023-03-11,,,,,
70,2023-03-12,,,,,
71,2023-03-13,,,,,
72,2023-03-14,,,,,
73,2023-03-15,,,,,
74,2023-03-16,,,,,
75,2023-03-17,,,,,
76,2023-03-18,,,,,
77,2023-03-19,,,,,
78,2023-03-20,,,,,
79,2023-03-21,,,,,
80,2023-03-22,,,,,
81,2023-03-23,,,,,
82,2023-03-24,,,,,
83,2023-03-25,,,,,
84,2023-03-26,,,,,
85,2023-03-27,,,,,
86,2023-03-28,,,,,
87,2023-03-29,,,,,
88,2023-03-30,,,,,
89,2023-03-31,,,,,
90,2023-04-01,,,,,
91,2023-04-02,,,,,
92,2023-04-03,,,,,
93,2023-04-04,,,,,
94,2023-04-05,,,,,
95,2023-04-06,,,,True,regular_holiday
96,2023-04-07,,,,True,regular_holiday
97,2023-04-08,,,,True,special_non_working_holiday
98,2023-04-09,,,,,
99,2023-04-10,,,,True,regular_holiday
100,2023-04-11,,,,,
101,2023-04-12,,,,,
102,2023-04-13,,,,,
103,2023-04-14,,,,,
104,2023-04-15,,,,,
105,2023-04-16,,,,,
106,2023-04-17,,,,,
107,2023-04-18,,,,,
108,2023-04-19,,,,,
109,2023-04-20,,,,,
110,2023-04-21,,,,True,regular_holiday
111,2023-04-22,,,,,
112,2023-04-23,,,,,
113,2023-04-24,,,,,
114,2023-04-25,,,,,
115,2023-04-26,,,,,
116,2023-04-27,,,,,
117,2023-04-28,,,,,
118,2023-04-29,,,,,
119,2023-04-30,,,,,
120,2023-05-01,,,,True,regular_holiday
121,2023-05-02,,,,,
122,2023-05-03,,,,,
123,2023-05-04,,,,,
124,2023-05-05,,,,,
125,2023-05-06,,,,,
126,2023-05-07,,,,,
127,2023-05-08,,,,,
128,2023-05-09,,,,,
129,2023-05-10,,,,,
130,2023-05-11,,,,,
131,2023-05-12,,,,,
132,2023-05-13,,,,,
133,2023-05-14,,,,,
134,2023-05-15,,,,,
135,2023-05-16,,,,,
136,2023-05-17,,,,,
137,2023-05-18,,,,,
138,2023-05-19,,,,,
139,2023-05-20,,,,,
140,2023-05-21,,,,,
141,2023-05-22,,,,,
142,2023-05-23,,,,,
143,2023-05-24,,,,,
144,2023-05-25,,,,,
145,2023-05-26,,,,,
146,2023-05-27,,,,,
147,2023-05-28,,,,,
148,2023-05-29,,,,,
149,2023-05-30,,,,,
150,2023-05-31,,,,,
151,2023-06-01,,,,,
152,2023-06-02,,,,,
153,2023-06-03,,,,,
154,2023-06-04,,,,,
155,2023-06-05,,,,,
156,2023-06-06,,,,,
157,2023-06-07,,,,,
158,2023-06-08,,,,,
159,2023-06-09,,,,,
160,2023-06-10,,,,,
161,2023-06-11,,,,,
162,2023-06-12,,,,True,regular_holiday
163,2023-06-13,,,,,
164,2023-06-14,,,,,
165,2023-06-15,,,,,
166,2023-06-16,,,,,
167,2023-06-17,,,,,
168,2023-06-18,,,,,
169,2023-06-19,,,,,
170,2023-06-20,,,,,
171,2023-06-21,,,,,
172,2023-06-22,,,,,
173,2023-06-23,,,,,
174,2023-06-24,,,,,
175,2023-06-25,,,,,
176,2023-06-26,,,,,
177,2023-06-27,,,,,
178,2023-06-28,,,,True,regular_holiday
179,2023-06-29,,,,,
180,2023-06-30,,,,,
181,2023-07-01,,,,,
182,2023-07-02,,,,,
183,2023-07-03,,,,,
184,2023-07-04,,,,,
185,2023-07-05,,,,,
186,2023-07-06,,,,,
187,2023-07-07,,,,,
188,2023-07-08,,,,,
189,2023-07-09,,,,,
190,2023-07-10,,,,,
191,2023-07-11,,,,,
192,2023-07-12,,,,,
193,2023-07-13,,,,,
194,2023-07-14,,,,,
195,2023-07-15,,,,,
196,2023-07-16,,,,,
197,2023-07-17,,,,,
198,2023-07-18,,,,,
199,2023-07-19,,,,,
200,2023-07-20,,,,,
201,2023-07-21,,,,,
202,2023-07-22,,,,,
203,2023-07-23,,,,,
204,2023-07-24,,,,,
205,2023-07-25,,,,,
206,2023-07-26,,,,,
207,2023-07-27,,,,,
208,2023-07-28,,,,,
209,2023-07-29,,,,,
210,2023-07-30,,,,,
211,2023-07-31,,,,,
212,2023-08-01,,,,,
213,2023-08-02,,,,,
214,2023-08-03,,,,,
215,2023-08-04,,,,,
216,2023-08-05,,,,,
217,2023-08-06,,,,,
218,2023-08-07,,,,,
219,2023-08-08,,,,,
220,2023-08-09,,,,,
221,2023-08-10,,,,,
222,2023-08-11,,,,,
223,2023-08-12,,,,,
224,2023-08-13,,,,,
225,2023-08-14,,,,,
226,2023-08-15,,,,,
227,2023-08-16,,,,,
228,2023-08-17,,,,,
229,2023-08-18,,,,,
230,2023-08-19,,,,,
231,2023-08-20,,,,,
232,2023-08-21,,,,True,special_non_working_holiday
233,2023-08-22,,,,,
234,2023-08-23,,,,,
235,2023-08-24,,,,,
236,2023-08-25,,,,,
237,2023-08-26,,,,,
238,2023-08-27,,,,,
239,2023-08-28,,,,True,regular_holiday
240,2023-08-29,,,,,
241,2023-08-30,,,,,
242,2023-08-31,,,,,
243,2023-09-01,,,,,
244,2023-09-02,,,,,
245,2023-09-03,,,,,
246,2023-09-04,,,,,
247,2023-09-05,,,,,
248,2023-09-06,,,,,
249,2023-09-07,,,,,
250,2023-09-08,,,,,
251,2023-09-09,,,,,
252,2023-09-10,,,,,
253,2023-09-11,,,,,
254,2023-09-12,,,,,
255,2023-09-13,,,,,
256,2023-09-14,,,,,
257,2023-09-15,,,,,
258,2023-09-16,,,,,
259,2023-09-17,,,,,
260,2023-09-18,,,,,
261,2023-09-19,,,,,
262,2023-09-20,,,,,
263,2023-09-21,,,,,
264,2023-09-22,,,,,
265,2023-09-23,,,,,
266,2023-09-24,,,,,
267,2023-09-25,,,,,
268,2023-09-26,,,,,
269,2023-09-27,,,,,
270,2023-09-28,,,,,
271,2023-09-29,,,,,
272,2023-09-30,,,,,
273,2023-10-01,,,,,
274,2023-10-02,,,,,
275,2023-10-03,,,,,
276,2023-10-04,,,,,
277,2023-10-05,,,,,
278,2023-10-06,,,,,
279,2023-10-07,,,,,
280,2023-10-08,,,,,
